ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt,item_keyword,item_category,item_brand,customer,supplier,competitor
TEST-KR,EF0000002865,테스트,TEST,TBD,KRX,0.0,[''],"[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
442560-KR,EF0000002858,KBSTAR TDF2040액티브,KB KBSTAR TDF2040 Active ETF,TBD,KRX,0.0,"['442560', 'KBSTAR TDF2040액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
442570-KR,EF0000002859,KBSTAR TDF2050액티브,KB KBSTAR TDF2050 Active ETF,TBD,KRX,0.0,"['442570', 'KBSTAR TDF2050액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
438560-KR,EF0000002846,SOL 국고채3년,Shinhan SOL Korea Treasury Bond 3Y ETF,TBD,KRX,0.0,"['438560', 'SOL 국고채3년']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
440650-KR,EF0000002855,KINDEX 미국달러단기채권액티브,KIM KINDEX US Short Term Bond Active ETF,TBD,KRX,0.0,"['440650', 'KINDEX 미국달러단기채권액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
442550-KR,EF0000002857,KBSTAR TDF2030액티브,KB KBSTAR TDF2030 Active ETF,TBD,KRX,0.0,"['442550', 'KBSTAR TDF2030액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
439860-KR,EF0000002850,KODEX ESG종합채권(A-이상)액티브,SAMSUNG KODEX ESG Korea Total Bond Market(A-) Active ETF,TBD,KRX,0.0,"['439860', 'KODEX ESG종합채권(A-이상)액티브']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385510-KR,EF0000002704,KODEX K-신재생에너지액티브,,"태양광, 풍력, 수소, 2차전지 등 신재생·친환경 에너지 산업 관련 국내기업에 투자하는 ETF",KRX,65.73,"['삼성', 'KODEX K-신재생에너지액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385520-KR,EF0000002705,KODEX K-미래차액티브,,"자율주행차, 자동차 전장화 등으로 대표되는 미래차 산업 관련 국내기업에 투자하는 ETF",KRX,52.98,"['삼성', 'KODEX K-미래차액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385540-KR,EF0000002706,KBSTAR KIS종합채권(A-이상)액티브,,신용등급 A-이상의 국내 채권시장전체의 흐름을 추종하며 초과수익을 추구하는 ETF,KRX,309.8,"['KB', 'KBSTAR KIS종합채권(A-이상)액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385550-KR,EF0000002707,KBSTAR KIS단기종합채권(AA-이상)액티브,,신용등급 AA-이상의 국내 단기채권시장의 흐름을 추종하며 초과수익을 추구하는 ETF,KRX,213.07,"['KB', 'KBSTAR KIS단기종합채권(AA-이상)액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385560-KR,EF0000002708,KBSTAR KIS국고채30년Enhanced,,KIS국고채30 년Enhanced 지수 일간 수익률의 1 배 성과를 추구하는 ETF  ,KRX,146.74,"['KB', 'KBSTAR KIS국고채30년Enhanced', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385590-KR,EF0000002709,KINDEX ESG액티브,KIM KINDEX ESG Active ETF,MSCI의 ESG 평가 기준을 충족하는 섹터 대표종목으로 구성된 비교지수 대비 초과수익을 추구하는 ETF,KRX,27.02,"['한국투자', 'KINDEX ESG액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385600-KR,EF0000002710,KINDEX 친환경자동차밸류체인액티브,KIM KINDEX Electric Vehicles Value Chain Active ETF,친환경 자동차 밸류체인 기술과 관련도가 높은 종목을 선별하여 벤치마크 대비 초과수익을 추구하는 ETF,KRX,28.05,"['한국투자', 'KINDEX 친환경자동차밸류체인액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385710-KR,EF0000002711,TIMEFOLIO 이노베이션액티브,TIMEFOLIO TIMEFOLIO Innovation Active ETF,"미래성장성 높은 BBIG 테마에 투자하면서, 섹터와 종목을 적극적으로 조절하는 액티브 ETF",KRX,27.76,"['타임폴리오', 'TIMEFOLIO 이노베이션액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
385720-KR,EF0000002712,TIMEFOLIO Kstock액티브,,주도 섹터와 종목을 시의적절하게 발굴하여 시장지수 대비 나은 성과를 추구하는 액티브 ETF,KRX,54.6,"['타임폴리오', 'TIMEFOLIO Kstock액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
387270-KR,EF0000002713,TIGER 글로벌BBIG액티브,,나스닥 지수를 베이스로 혁신 성장 산업 BBIG에 집중투자하는 액티브 ETF,KRX,58.51,"['미래에셋', 'TIGER 글로벌BBIG액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
387280-KR,EF0000002714,TIGER 퓨처모빌리티액티브,,미래 모빌리티 밸류체인의 전반에 투자하는 액티브 주식형 ETF,KRX,58.3,"['미래에셋', 'TIGER 퓨처모빌리티액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
388280-KR,EF0000002715,KBSTAR Fn컨택트대표,,"코로나19로 타격을 받은 컨택트 업종(항공, 호텔, 레저, 의류, 백화점 등) 관련 대표주에 투자하는 ETF",KRX,46.74,"['KB', 'KBSTAR Fn컨택트대표', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
388420-KR,EF0000002716,KBSTAR 비메모리반도체액티브,,국내 비메모리 반도체 산업 밸류체인 전반에 걸친 핵심기업에 투자하는 ETF,KRX,17.47,"['KB', 'KBSTAR 비메모리반도체액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
390390-KR,EF0000002717,KODEX 미국반도체MV,,미국에 상장된 대형 반도체 기업 25종목에 투자하는 ETF,KRX,39.95,"['삼성', 'KODEX 미국반도체MV', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
390400-KR,EF0000002718,KODEX 미국스마트모빌리티S&P,,미국에 상장된 글로벌 스마트모빌리티 기업에 투자하는 ETF,KRX,10.81,"['삼성', 'KODEX 미국스마트모빌리티S&P', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
390950-KR,EF0000002719,HANARO 단기채권액티브,,단기 무위험채권(통안채·국채)에 투자하는 채권형 액티브 ETF,KRX,171.91,"['NH-Amundi', 'HANARO 단기채권액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
391590-KR,EF0000002720,KINDEX 미국스팩&IPO INDXX,,미국에 상장된 SPAC 보통주와 SPAC을 통해 상장한 SPAC 합병 IPO종목에 투자하는 ETF,KRX,9.65,"['한국투자', 'KINDEX 미국스팩&IPO INDXX', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
391600-KR,EF0000002721,KINDEX 미국친환경그린테마INDXX,,"미국상장 종목 중 기후변화 대응을 위한 7개 ""Green Tech“ 테마의 핵심종목에 투자하는 ETF",KRX,53.54,"['한국투자', 'KINDEX 미국친환경그린테마INDXX', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
391670-KR,EF0000002722,HK 베스트일레븐액티브,,"시가총액 상위 10종목 중 6종목, 성장성 및 펀더멘탈을 고려하여 5종목을 각각 선정하여 11종목으로 운용하는 압축형 ETF",KRX,6.42,"['흥국', 'HK 베스트일레븐액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
391680-KR,EF0000002723,HK 하이볼액티브,,"시가총액, 거래대금을 감안한 고베타 상위종목과 초과수익 달성 가능성이 높은 혁신기업에 투자하는 ETF",KRX,4.55,"['흥국', 'HK 하이볼액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
394340-KR,EF0000002724,KOSEF 릭소글로벌디지털경제MSCI,,"전자상거래, 소셜미디어, 클라우드, 디지털페이먼트, 사이버보안 등 디지털경제로의 변화를 주도하고 있는 기업들로 구성된 ETF",KRX,6.65,"['키움', 'KOSEF 릭소글로벌디지털경제MSCI', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
394350-KR,EF0000002725,KOSEF 릭소글로벌퓨처모빌리티MSCI,,"배터리, 전기차, 자율주행, 공유모빌리티 등 미래 운송수단의 혁명을 주도하고 있는 기업들로 구성된 ETF",KRX,41.92,"['키움', 'KOSEF 릭소글로벌퓨처모빌리티MSCI', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
394660-KR,EF0000002726,TIGER 글로벌자율주행&전기차SOLACTIVE,,자동차 산업의 새로운 패러다임에 투자하는 글로벌 테마형 ETF,KRX,189.63,"['미래에셋', 'TIGER 글로벌자율주행&전기차SOLACTIVE', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
394670-KR,EF0000002727,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),,"리튬 채굴, 2차전지 배터리 및 완성차 업체까지 글로벌 배터리 관련 산업 전반에 투자하는 ETF ",KRX,627.05,"['미래에셋', 'TIGER 글로벌리튬&2차전지SOLACTIVE(합성)', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395150-KR,EF0000002728,KODEX Fn웹툰&드라마,,웹툰 및 드라마와 관련도가 높은 종목들을 필터 및 키워드 스코어링을 통해 선정한 종목 투자,KRX,10.12,"['삼성', 'KODEX Fn웹툰&드라마', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395160-KR,EF0000002729,KODEX Fn시스템반도체,,시스템반도체와 관련도가 높은 국내 종목들을 필터 및 스코어링을 통해 선정한 종목 투자,KRX,20.8,"['삼성', 'KODEX Fn시스템반도체', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395170-KR,EF0000002730,KODEX Fn Top10동일가중,,국내 주식시장 시가총액 상위 10종목에 대한 동일가중 투자,KRX,6.71,"['삼성', 'KODEX Fn Top10동일가중', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395270-KR,EF0000002731,HANARO Fn K-반도체,,"전세계 메모리 반도체 분야 강자, K-반도체 산업에 투자하는 ETF",KRX,7.19,"['NH-Amundi', 'HANARO Fn K-반도체', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395280-KR,EF0000002732,HANARO Fn K-게임,,높은 성장률을 기록하고 있는 K-게임 관련 기업에 투자하는 ETF,KRX,22.04,"['NH-Amundi', 'HANARO Fn K-게임', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395290-KR,EF0000002733,HANARO Fn K-POP&미디어,,글로벌 경쟁력을 갖춘 K-POP & K-미디어 산업에 투자하는 ETF,KRX,18.84,"['NH-Amundi', 'HANARO Fn K-POP&미디어', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395750-KR,EF0000002734,ARIRANG ESG가치주액티브,,글로벌 투자의 핵심 키워드 ESG(환경/사회/지배구조) 와 액티브 운용전략을 결합하여 가치주에 투자하는 ETF,KRX,104.68,"['한화', 'ARIRANG ESG가치주액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
395760-KR,EF0000002735,ARIRANG ESG성장주액티브,,글로벌 투자의 핵심 키워드 ESG(환경/사회/지배구조) 와 액티브 운용전략을 결합하여 성장주에 투자하는 ETF,KRX,48.11,"['한화', 'ARIRANG ESG성장주액티브', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
396500-KR,EF0000002736,TIGER Fn반도체TOP10,,주식시장에 상장된 '반도체' 종목에 투자하며 반도체 상위 2개 종목에 모두 투자하는 ETF,KRX,44.12,"['미래에셋', 'TIGER Fn반도체TOP10', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
396510-KR,EF0000002737,TIGER 차이나클린에너지SOLACTIVE,,중국 정부가 발전을 주도하는 신재생에너지 산업에 투자하는 ETF,KRX,53.25,"['미래에셋', 'TIGER 차이나클린에너지SOLACTIVE', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
396520-KR,EF0000002738,TIGER 차이나반도체FACTSET,,거대한 중국 반도체 내수 시장과 정부 반도체 육성 정책의 수혜가 예상되는 중국 반도체 산업에 투자하는 ETF,KRX,26.63,"['미래에셋', 'TIGER 차이나반도체FACTSET', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
397420-KR,EF0000002739,KBSTAR 국채선물5년추종,,중기(듀레이션 5Y 수준) 국채선물에 투자하여 금리변동에 따른 자본차익에 집중한 ETF,KRX,2.0,"['KB', 'KBSTAR 국채선물5년추종', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
399110-KR,EF0000002740,SOL 미국S&P500ESG,,미국 주식시장에 상장되어 거래되는 시가총액 상위 500개 종목 중 ESG(환경/사회/지배구조) 스코어링을 반영하여 종목을 선별한 ETF,KRX,19.72,"['신한', 'SOL 미국S&P500ESG', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
399580-KR,EF0000002741,KBSTAR 글로벌클린에너지S&P,,"태양광, 풍력, 수력 등 친환경에너지 산업 관련 글로벌 기업에 투자하는 해외 테마 주식형 ETF",KRX,9.2,"['KB', 'KBSTAR 글로벌클린에너지S&P', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
400570-KR,EF0000002742,KODEX 유럽탄소배출권선물ICE(H),,"ICE 선물거래소에 상장된 유럽탄소배출권 선물에 투자하여, 친환경 테마 투자와 포트폴리오 분산의 효과를 추구하는 ETF",KRX,51.21,"['삼성', 'KODEX 유럽탄소배출권선물ICE(H)', 'ETF', '상장지수']","[{'category_topc_id':'-', 'category':'-', 'wght_val':0}]","[{'brand_topc_id':'-', 'brand':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]","[{'topc_id':'-', 'kor_item_name':'-', 'wght_val':0}]"
