ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt
298020-KR,CP0000001865,효성티앤씨,Hyosung TNC Corp.,"동사는 2018년 6월 1일을 주식회사 효성에서 인적분할되어 섬유/무역 사업을 목적으로 설립되었음. 섬유 부문의 주요 제품은 스판덱스, 나일론원사, 폴리에스터원사, PTMG 등 이고, 무역 등 부문의 주요 사업내용은 철강 및 화학제품의 Trading이며, 그 외 주요 제품으로는 NF3, 타이어보강재 등이 있음. 특히 스판덱스는 아시아, 유럽, 미주 지역을 아우르는 글로벌 생산네트워크를 구축하였으며, MS 세계 1위를 지키고 있음.",KRX,1383180
028050-KR,CP0000001783,삼성엔지니어링,"Samsung Engineering Co., Ltd.","동사는 전 세계 플랜트 시장에서 활발한 사업을 전개하는 글로벌 EPC(설계, 구매, 시공) 전문기업임. 1970년 1월 20일에 설립되어 1996년 12월 24일 유가증권시장에 상장됨. 산업환경은 그룹 내 물량의 지속적인 발주가 이어지고, 해외 수처리 및 바이오 시장의 성장이 확대될 전망임. 동남아 등 저개발 국가 중심으로 기초산업플랜트 위주의 발주가 예상되고 있어 수요 확대 가능성이 높음.",KRX,3851400
307950-KR,CP0000001849,현대오토에버,Hyundai Autoever Corp.,"동사는 2000년 4월 10일에 설립되어 컴퓨터 네트워크 장비 도소매업과 전산시스템 설계, 관리 등의 사업을 주력으로 함. 동사의 SI는 기업이 비즈니스를 수행하기 위해 필요한 정보화 시스템을 구축하는 사업임. 한편 그 외에도 동사는 컨설팅 서비스 및 H/W, S/W를 포함한 시스템 구축에서부터 ASP사업, 데이터센터, 클라우드, 네트워크 등 IT 인프라와 서비스를 제공 중.",KRX,3496450
030000-KR,CP0000001850,제일기획,Cheil Worldwide Inc.,"동사는 광고업 등을 영위할 목적으로 1973년 1월 17일에 설립되었으며, 1998년 3월 3일자로 한국거래소에 상장됨. 광고주의 니즈에 적합한 Strategy, Creative, Media, Digital, Experiential 등 최적의 마케팅 솔루션을 제공하고 있음. 글로벌 톱 수준의 통합 마케팅 솔루션으로 타 광고회사와의 경쟁에서 경쟁우위를 확보하는 전략을 구사하고 있음.",KRX,2273700
047040-KR,CP0000001767,대우건설,"Daewoo Engineering & Construction Co., Ltd","동사는 도로, 철도 등 사회기반시설을 건설하는 토목사업과 아파트등을 건설하는 주택건축사업, 석유화학시설 및 발전소를 건설하는 플랜트사업을 영위. 세계 최대수심, 최장 및 국내 최초 침매터널 공사인 거가대로, 국내 최장 도로터널인 인제터널을 성공리에 관통시키는 등 첨단 기술력을 입증하며 시장선도. 고부가가치 창출이나 안정적인 수익 발생이 가능한 공종을 추가로 발굴하고, 사업 다각화를 통해 다양한 미래 먹거리를 확보 노력중.",KRX,2218780
042660-KR,CP0000001676,대우조선해양,"Daewoo Shipbuilding & Marine Engineering Co., Ltd","동사는 종합 조선/해양 전문회사로서 사업부문은 선박, 해양사업, 건설사업, 기타사업(에너지, 식품사업, 풍력사업, 서비스사업, 해상화물운송사업 등)으로 구성되어 있음. 선박, 해양산업은 막대한 시설자금의 투입이 수반되는 기간산업으로 자본집약적이며 선박 및 해양 제품의 건조는 노동집약적 특성을 지니고 있음. 도크별 생산 전문화, 자회사별 생산 전문화, 사외 권역별 생산운영전략 및 안벽 운영방안 수립 등 최적 생산체계를 구축함.",KRX,2134770
066970-KR,CP0000001787,엘앤에프,"L & F Co., Ltd.","동사는 2000년 설립돼 2003년 코스닥 시장에 주식을 상장함. 2차전지 양극활물질과 그에 관련된 소재 제조 및 판매를 주요 사업으로 영위함. 스마트기기, ESS 등을 만드는 데 쓰임. 중국에 위치한 무석광미래신재료유한공사와 경북 김천에 위치한 제이에이치화학공업을 연결대상 종속회사로 보유함. 대구 달서구와 경북 칠곡군 등에 생산시설을 운영 중임. 매출은 수출 96.97%, 내수 3.03%로 구성됨.",KRX,7281600
042670-KR,CP0000001922,두산인프라코어,"Doosan Infracore Co., Ltd","동사는 2005년 4월 사명을 두산인프라코어로 변경하였고 건설중장비, 엔진 등을 생산 판매하는 사업을 영위함. 건설기계와 관련하여  북미와 유럽 등 선진 시장에서는 채널 역량과 제품 경쟁력 강화 및 관리체계 효율화를 통해 지속적인 사업 성장을 추진하고 있음. 현대두산인프라코어는 2021년 7월 1일을 분할기일로 하여 두산밥캣 지분을 포함한 투자사업부문을 분할하여 두산중공업 주식회사에 흡수합병하는 흡수인적분할합병방식으로 분할하였음.",KRX,1059660
000990-KR,CP0000001870,DB하이텍,DB HiTek Co. LTD,"DB그룹의 주요계열사인 동사는 1953년 4월 28일에 설립되었으며, 반도체 제조를 주요 사업으로 영위함. 웨이퍼 수탁 생산 및 판매를 담당하는 Foundry 사업과 디스플레이 구동 및 Sensor IC 등 자사 제품을 설계, 판매하는 Brand 사업을 운영하고 있음. 웨이퍼 수탁 생산 및 판매를 담당하는 Foundry 사업과 디스플레이 구동 및 Sensor IC 등 자사 제품을 설계, 판매하는 Brand 사업을 운영하고 있음.",KRX,1927290
253450-KR,CP0000001663,스튜디오드래곤,Studio Dragon Corp.,"2016년 5월 CJ ENM의 드라마 사업본부가 물적분할되어 설립, 드라마 콘텐츠를 기획 및 제작하여 미디어 플랫폼에 배급하고 VOD, OTT 등을 통한 유통 및 관련 부가사업을 영위함. 도깨비, 비밀의 숲, 미스터션샤인, 사랑의 불시착 등 완성도와 화제성 높은 드라마를 지속적으로 선보이며 전통 미디어, 디지털, OTT 등 뉴미디어까지 영향력을 확대하고 있음. 해외 로컬 제작사, 방송사들과 파트너쉽을 통해 현지화를 확대 중임.",KRX,2266070
